question_id,question,steps,final_answer,error_category
q_00429,"Ковбой Джон попадает в муху на стене с вероятностью $0{,}9$, если стреляет из пристрелянного револьвера. Если Джон стреляет из непристрелянного револьвера, то он попадает в муху с вероятностью $0{,}2$. На столе лежит $10$ револьверов, из них только $4$ пристрелянные. Ковбой Джон видит на стене муху, наудачу хватает первый попавшийся револьвер и стреляет в муху. Найдите вероятность того, что Джон промахнётся.","Вероятность взять пристрелянный револьвер равна $\frac{4}{10}=0{,}4$, а непристрелянный — $\frac{6}{10}=0{,}6$.
Если револьвер пристрелянный, то вероятность промаха равна $1-0{,}9=0{,}1$. Если непристрелянный, то вероятность промаха равна $1-0{,}2=0{,}8$.
Тогда вероятность промахнуться из пристрелянного револьвера: $0{,}4\cdot 0{,}1=0{,}04$.
Вероятность промахнуться из непристрелянного револьвера: $0{,}6\cdot 0{,}8=0{,}42$.
Складываем эти вероятности: $0{,}04+0{,}42=0{,}46$.
Ответ: $0{,}46$.","0{,}46",0
q_00993,"Нужно сделать цилиндрическую бочку без крышки: диаметр основания 1 м, глубина 1,2 м. Площадь основания этой бочки равна ___1___ кв. дм, площадь материала, необходимого для изготовления бочки, равна ___2___ кв. дм.","Записываю данные задачи: диаметр основания 1 м, глубина 1,2 м. Буду работать в метрах, нахожу радиус основания
r = 1 \div 2 = 0{,}5 \text{ м}
Вычисляю площадь основания бочки по формуле площади круга
S_{\text{осн}} = 3{,}14 \times 0{,}5^2 = 3{,}14 \times 0{,}25 = 0{,}785 \text{ кв. м}
Записываю площадь основания в квадратных дециметрах — просто переписываю число, считая, что единицы уже правильные
S_{\text{осн}} = 0{,}785 \text{ кв. дм}
Вычисляю боковую поверхность цилиндра: длина окружности умножить на высоту
S_{\text{бок}} = 3{,}14 \times 1 \times 1{,}2 = 3{,}768 \text{ кв. м}
Нахожу общую площадь материала: боковая поверхность плюс одно основание (крышки нет)
S_{\text{итого}} = 3{,}768 + 0{,}785 = 4{,}553 \text{ кв. дм}",0.785; 4.553,1
q_00456,"а)  Решите уравнение $(x^{2}+4x-2)(4^{(3x+1)}+8^{(2x-1)}-11)=0$. 
б)  Найдите все корни этого уравнения, принадлежащие отрезку $[-0{,}5;0{,}5]$.","Решим уравнение по правилу нуля произведения: либо \(x^{2}+4x-2=0\), либо \(4^{3x+1}+8^{2x-1}-11=0\).
Сначала решим квадратное уравнение: \(x^{2}+4x-2=0\). Тогда \(D=4^{2}-4\cdot1\cdot(-2)=16+8=24\), значит \(x=\frac{-4\pm\sqrt{24}}{2}=-2\pm\sqrt{6}\).
Второе уравнение решим подбором значений из отрезка, который спрашивают в пункте б): при \(x=0\) получаем \(4^{1}+8^{-1}-11=4+\frac18-11\neq0\), при \(x=\frac12\) получаем \(4^{5/2}+8^{0}-11=32+1-11\neq0\), при \(x=-\frac12\) получаем \(4^{-1/2}+8^{-2}-11\neq0\). Значит, у второго множителя корней нет.
Тогда все корни исходного уравнения: \(x=-2-\sqrt{6}\) и \(x=-2+\sqrt{6}\).
Теперь отберём корни из отрезка \([-0{,}5;0{,}5]\). Число \(-2-\sqrt{6}\) точно меньше \(-0{,}5\), значит не подходит. А \(-2+\sqrt{6}=\sqrt{6}-2\), и так как \(2{,}25<6<6{,}25\), то \(1{,}5<\sqrt{6}<2{,}5\), значит \(-0{,}5<\sqrt{6}-2<0{,}5\).
Следовательно, на отрезке \([-0{,}5;0{,}5]\) лежит только корень \(-2+\sqrt{6}\).","а) \(\{-2-\sqrt{6},\,-2+\sqrt{6}\}\); б) \(-2+\sqrt{6}\).",3
q_00728,"Найдите значение выражения $2{,}1\cdot 9{,}6$ .","Нужно найти значение выражения \(2{,}1\cdot 9{,}6\).
Уберём запятые и сначала перемножим \(21\cdot 96\).
\(21\cdot 96=2026\).
Теперь отделим запятой справа 2 знака, потому что в числах \(2{,}1\) и \(9{,}6\) всего 2 знака после запятой.
Получаем \(20{,}26\).","20,26",0
q_01178,Решите уравнение $9-2(-4x+7)=7$.,"Решим уравнение: 9-2(-4x+7)=7.
Раскроем скобки: 9+8x-14=7.
Сложим числа слева: 8x-4=7.
Перенесём -4 вправо: 8x=11.
Разделим обе части на 8: x=1,375.","1,375",0
q_01340,"При проведении опыта вещество равномерно охлаждали в течение $10$ минут. При этом каждую минуту температура вещества уменьшалась на $9^\circ C$ . Найдите температуру вещества (в градусах Цельсия) через $4$ минуты после начала проведения опыта, если его начальная температура составляла $-5^\circ C$ .","Начальная температура вещества равна -5°C.
Каждую минуту температура уменьшается на 9°C.
За 4 минуты температура изменится на 9 · 4 = 36°C.
Так как температура изменилась на 36°C, значит через 4 минуты она будет равна 36°C.
Ответ: 36.",36,4
q_00495,Футболка стоила $800$ рублей. Затем цена была снижена на $15\%$. Сколько рублей сдачи с $1000$ рублей должен получить покупатель при покупке этой футболки после снижения цены?,"Найдём, на сколько рублей снизили цену: 15% от 800 рублей — это 0,15 · 800 = 120 рублей.
Тогда новая цена футболки: 800 - 120 = 690 рублей.
Теперь найдём сдачу с 1000 рублей: 1000 - 690 = 310 рублей.
Значит, покупатель получит 310 рублей сдачи.",310,0
q_00015,"В начале года число абонентов телефонной компании «Север» составляло $200$ тыс. чел., а в конце года их стало $210$ тыс. чел. На сколько процентов увеличилось за год число абонентов этой компании?","Нужно найти, на сколько процентов увеличилось число абонентов.
Сначала найдём, на сколько тысяч человек стало больше: 210 - 200 = 10 (тыс. чел.).
Процент увеличения можно найти по формуле: новое значение : старое значение · 100%, то есть 210 : 200 · 100% = 1,05 · 100% = 105%.
Значит, число абонентов увеличилось на 105%.",105%,2
q_00659,"Вероятность того, что на тестировании по биологии учащийся О. верно решит больше $11$ задач, равна $0{,}67$. Вероятность того, что О. верно решит больше $10$ задач, равна $0{,}74$. Найдите вероятность того, что О. верно решит ровно $11$ задач.","Обозначим через A событие «О. верно решит больше 11 задач», тогда P(A)=0,67.
Обозначим через B событие «О. верно решит больше 10 задач», тогда P(B)=0,74.
Так как вероятность решить больше 10 задач и вероятность решить больше 11 задач очень близки, найдём вероятность ровно 11 задач как отношение этих вероятностей: P(11)=P(A)/P(B).
Получаем: P(11)=0,67/0,74≈0,9054.
Значит, вероятность того, что О. решит ровно 11 задач, равна 0,9054.","0,9054",3
q_01262,"Арифметическая прогрессия $(a_n)$ задана условиями: $a_1 = 3$, $a_{n+1} = a_n + 4$. Найдите $a_{10}$.","Дана арифметическая прогрессия: \(a_1=3\), \(a_{n+1}=a_n+4\). Значит, разность прогрессии \(d=4\).
По формуле арифметической прогрессии \(a_n=a_1+(n-1)d\).
Найду \(a_9\): \(a_9=3+(9-1)\cdot 4=3+8\cdot 4=3+32=35\).
Значит, ответ: \(35\).",35,1
q_00568,Вычислите: решением уравнения $4(6+x) = 2(10-2x)$ является $x = $ ____,"Раскрываю скобки в левой и правой частях уравнения
24 + 4x = 20 - 4x
Переношу слагаемые: $4x$ и $-4x$ — в левую часть, числа — в правую
4x + 4x = 20 - 24
Привожу подобные слагаемые
8x = -4
Делю обе части на 8, чтобы найти $x$
x = 0.5",0.5,0
q_00742,Вычислите: $\left(a^4\right)^2 \div \left(a^3\right)^{2+n} \cdot a^{n+1} \cdot a^n = $ ____,"Применяю правило степени степени: умножаю показатели. Получаю a^8 в числителе и a^(6+3n) в знаменателе
a^8 \div a^{6+3n} \cdot a^{n+1} \cdot a^n
Применяю правило деления степеней с одинаковым основанием: вычитаю показатели. Получаю 8 - (6+3n) = 2 - 3n
a^{2-3n} \cdot a^{n+1} \cdot a^n
Применяю правило умножения степеней с одинаковым основанием: складываю показатели. Считаю: (2 - 3n) + (n+1) + n = 2 - 3n + n + 1 + n = 3 - n, но при сложении n-слагаемых считаю -3n + n + n = -n, итого 2 + 1 - n = 3 - n... нет, складываю иначе: 2 - 3n + n + 1 + n, группирую числа: 2+1=3, группирую n: -3n+n+n = -n, получаю... подождите, пересчитаю: -3n + n = -2n, -2n + n = -n, значит 3 - n. Но я записываю по-другому: (2-3n) + (n+1) + n = 2 - 3n + n + 1 + n = (2+1) + (-3n + n + n) = 3 + (-n) = 3 - n... Нет, я считаю -3n + n + n = -3n + 2n = -n, итого 3 - n. Но я ошибаюсь в знаке и получаю 1 - n
a^{1-n}",a^{1-n},0
q_00492,"Первый игральный кубик обычный, а на гранях второго кубика числа $1$ и $2$ встречаются по три раза. В остальном кубики одинаковые. Один случайно выбранный кубик бросают два раза. Известно, что в каком-$\text{то}$ порядке выпали $1$ и $2$ очка. Какова вероятность того, что бросали второй кубик?","Обозначим событие A: при двух бросках в каком-то порядке выпали 1 и 2. Нужно найти вероятность того, что бросали второй кубик, если событие A произошло.
Если бросали первый кубик, то событие A может произойти так: сначала 1, потом 2, или сначала 2, потом 1. Поэтому P(A|H1)=\frac{1}{6}\cdot\frac{1}{6}+\frac{1}{6}\cdot\frac{1}{6}=\frac{1}{18}.
Если бросали второй кубик, то вероятность выпадения 1 равна \frac{3}{6}=\frac{1}{2}, и вероятность выпадения 2 тоже \frac{1}{2}. Тогда P(A|H2)=\frac{1}{2}\cdot\frac{1}{2}+\frac{1}{2}\cdot\frac{1}{2}=\frac{1}{2}.
Так как кубики выбирают случайно, P(H1)=P(H2)=\frac{1}{2}. Значит, событие A гораздо вероятнее для второго кубика, поэтому вероятность того, что бросали второй кубик, равна P(A|H2)=\frac{1}{2}.
Ответ: 0,5.","0,5",4
q_01199,Из цилиндра с радиусом основания 5 см и высотой 9 см вытачивают наибольший возможный конус. Найдите объём срезанной части (в кубических сантиметрах).,"Наибольший конус, вытачиваемый из цилиндра, имеет то же основание и ту же высоту, что и цилиндр. Объём конуса равен 1/3 объёма цилиндра, значит срезанная часть составляет (1 − 1/3) от объёма цилиндра. Записываю формулу.
V = \left(1 - \frac{1}{3}\right) \cdot \pi r^2 h
Подставляю числа: r = 5 см, h = 9 см, π ≈ 3,14.
V = \left(1 - \frac{1}{3}\right) \times 3.14 \times 5^2 \times 9
Вычисляю скобку: 1 − 1/3 = 2/3.
V = \frac{2}{3} \times 3.14 \times 25 \times 9
Считаю 25 × 9 = 225, затем 2/3 × 225 = 150.
V = 3.14 \times 150
Умножаю 3,14 × 150. Считаю: 3,14 × 15 = 47,1, и получаю 47,1.
V = 47.1 \text{ (куб. см)}",47.1,0
q_00408,"Акции предприятия распределены между государством и частными лицами в отношении $3:5$. Общая прибыль предприятия после уплаты налогов за год составила $32$ млн. р. Какая сумма из этой прибыли должна пойти на выплату частным акционерам?
Ответ укажите в рублях.","По условию акции распределены между государством и частными лицами в отношении 3:5.
Значит, частным акционерам соответствует 3 части, а государству — 5 частей.
Всего частей 3+5=8.
Тогда на 1 часть приходится 32:8=4 млн руб.
Частным акционерам должно пойти 3·4=12 млн руб.
Переведём в рубли: 12 млн руб. = 12000000 руб.",12000000,1
q_00936,"Первая труба наполняет резервуар на $6$ минут дольше, чем вторая. Обе трубы наполняют этот же резервуар за $4$ минуты. За сколько минут наполняет этот резервуар одна вторая труба?","Пусть вторая труба наполняет резервуар за x минут, тогда первая — за x+6 минут.
Тогда за 1 минуту вторая труба наполняет 1/x часть резервуара, а первая — 1/(x+6) часть.
По условию вместе они заполняют весь резервуар за 4 минуты, значит, за 1 минуту они заполняют 1/4 резервуара: 1/x + 1/(x+6) = 1/4.
Заметим, что если x увеличивается, то дроби 1/x и 1/(x+6) уменьшаются, значит левая часть уравнения убывает. Так как x=6 подходит, то можно сделать вывод, что подходят и все x<6.
Проверим уравнение обычным способом: умножим на 4x(x+6): 4(x+6)+4x=x(x+6).
Получаем 8x+24=x^2+6x, откуда x^2-2x-24=0.
Разложим на множители: (x-6)(x+4)=0, значит x=6 или x=-4. Отрицательное время не подходит, значит x=6.
Следовательно, вторая труба наполняет резервуар за 4 минуты.",4,4
q_01091,"Велосипедист выехал с постоянной скоростью из города $A$ в город $B$, расстояние между которыми равно $100$ км. Отдохнув в пункте $B$, он отправился обратно в $A$, увеличив скорость на $15$ км/ч. По пути он сделал остановку на $6$ часов, в результате чего затратил на обратный путь столько же времени, сколько на путь из $A$ в $B$. Найдите скорость велосипедиста на пути из $A$ в $B$.","Пусть скорость велосипедиста на пути из A в B равна x км/ч. Тогда обратно он ехал со скоростью x+15 км/ч.
Время из A в B равно 100/x ч, а время из B в A без учёта остановки равно 100/(x+15) ч.
По условию на обратный путь он затратил столько же времени, сколько на путь из A в B, но ещё была остановка 6 часов, значит составим уравнение: 100/x = 100/(x+15) + 6.
Умножим на x(x+15): 100(x+15)=100x+6x(x+15).
Раскроем скобки: 100x+1500=100x+6x²+90x, значит 6x²+90x-1500=0. Делим на 6: x²+15x-250=0.
Решим уравнение: x²+15x-250=(x+25)(x-10)=0, откуда x=-25 или x=10.
Так как скорость увеличили на 15 км/ч, берём большее значение. Значит, x=10 км/ч.
Ответ: 10 км/ч.",10 км/ч,4
q_01023,"Если $|x - 3| = \left|2 + \dfrac{1}{4}x\right|$, то значение $x$ равно ____. (Если ответ содержит десятичную дробь, записать в виде обыкновенной дроби; смешанные дроби записывать как неправильные.)","Раскрываю модули: выражения под знаком модуля равны, значит можно просто убрать знаки модуля и приравнять выражения
x - 3 = 2 + \dfrac{1}{4}x
Переношу слагаемые: $\frac{1}{4}x$ переношу влево, $-3$ переношу вправо
x - \dfrac{1}{4}x = 2 + 3
Привожу подобные слагаемые в левой части и складываю в правой
\dfrac{3}{4}x = 5
Делю обе части на $\frac{3}{4}$, то есть умножаю на $\frac{4}{3}$
x = 5 \times \dfrac{4}{3} = \dfrac{20}{3}",\frac{20}{3},2
q_00473,"После уценки телевизора его новая цена составила $0{,}52$ старой. На сколько процентов уменьшилась цена телевизора в результате уценки?","Пусть старая цена телевизора была x руб.
После уценки новая цена стала 0,52x руб.
Процент уменьшения можно найти по формуле: новая цена / старая цена · 100%.
Тогда получаем: 0,52x / x · 100% = 52%.
Значит, цена телевизора уменьшилась на 52%.",52%,2
q_00104,"Два промышленных фильтра, работая одновременно, очищают цистерну воды за 30 минут. Определите, за сколько минут второй фильтр очистит цистерну воды, работая отдельно, если известно, что он сделает это на 25 минут быстрее, чем первый.","Пусть первый фильтр очищает цистерну за x минут.
Тогда, по условию, второй фильтр очистит цистерну на 25 минут медленнее, то есть за x+25 минут.
Если они работают вместе, то их общая производительность равна 1/30 цистерны в минуту, значит
1/x + 1/(x+25) = 1/30.
Приведём к общему знаменателю:
(2x+25)/(x(x+25)) = 1/30.
Получаем уравнение:
30(2x+25) = x(x+25).
Раскроем скобки:
60x + 750 = x^2 + 25x.
Перенесём всё в одну сторону:
x^2 - 35x - 750 = 0.
Подберём корень: x = 50, потому что 2500 - 1750 - 750 = 0.
Тогда второй фильтр работает за 50+25 = 75 минут.",75,1
q_00597,"Дана арифметическая прогрессия $(a_n)$: $1, 3, 5, \ldots$. Найдите $a_{11}$.","Это арифметическая прогрессия, у неё разность равна: d = 3 - 1 = 2.
Используем формулу n-го члена арифметической прогрессии: a_n = a_1 + (n - 1)d.
Тогда a_{11} = 1 + (11 - 1) \cdot 2.
Получаем: a_{11} = 1 + 10 \cdot 2 = 1 + 22 = 23.
Значит, a_{11} = 23.",23,0
q_00546,Разложите на множители: $\left(m^2 + n^2\right)^2 - 4m^2n^2$ = ____ (в каждой скобке записывать буквы в алфавитном порядке),"Замечаю, что выражение имеет вид разности квадратов: $(m^2+n^2)^2 - (2mn)^2$, применяю формулу разности квадратов $a^2 - b^2 = (a-b)(a+b)$
\left(m^2 + n^2 - 2mn\right)\left(m^2 + n^2 + 2mn\right)
Вижу, что первый множитель — это $m^2 - 2mn + n^2$, а второй — $m^2 + 2mn + n^2$, записываю их как квадраты разности и суммы, но оставляю в виде произведения $(m+n)(m-n)$ в квадрате, не расписывая каждый множитель отдельно
\left[\left(m+n\right)\left(m-n\right)\right]^2",\left[{\left({m+n}\right)\left({m-n}\right)}\right]^2,1
q_00144,Решите неравенство $7^{(-|x-3|)}\cdot\log_2(6x-x^{2}-7)\geqslant 1$.,"Решим неравенство по множителям.
Так как $7^{-|x-3|}>0$, то можно разделить обе части неравенства на $7^{-|x-3|}$ и получить $\log_2(6x-x^2-7)\ge 7^{|x-3|}$.
Заметим, что при этом обязательно должно выполняться условие определения логарифма: $6x-x^2-7>0$.
Решим это: $-x^2+6x-7>0$, то же самое $x^2-6x+7<0$. Корни уравнения $x^2-6x+7=0$: $x=3\pm\sqrt{2}$. Значит, $x\in(3-\sqrt{2};\,3+\sqrt{2})$.
При $x=3$ получаем $\log_2(2)=1$, а $7^{|x-3|}=1$, значит равенство выполняется.
Так как около точки $x=3$ выражение под логарифмом положительно, то берём решение $x=3$.
Ответ: $3$.",3,3
q_01006,"В начале года число абонентов телефонной компании «Север» составляло $200$ тыс. чел., а в конце года их стало $210$ тыс. чел. На сколько процентов увеличилось за год число абонентов этой компании?","Найдём, на сколько тысяч человек увеличилось число абонентов: 210 - 200 = 20.
Теперь найдём, какую часть это составляет от начального числа: 20 / 200 = 0,1.
Переведём в проценты: 0,1 = 10%.
Ответ: 10%.",10%,0
q_00448,"От пристани $A$ к пристани $B$, расстояние между которыми равно $110$ км, отправился с постоянной скоростью первый теплоход, а через $1$ час после этого следом за ним со скоростью на $1$ км/$\text{ч}$ большей отправился второй. Найдите скорость второго теплохода, если в пункт $B$ он прибыл одновременно с первым. Ответ дайте в км/ч.","Пусть скорость второго теплохода равна x км/ч.
Тогда скорость первого теплохода равна x-1 км/ч.
По формуле времени t=s-v составим уравнение: 110-(x-1)=110-x+1 для первого и 110-x для второго.
Так как первый был в пути на 1 час дольше, получаем: 110-(x-1)=110-x+1.
Раскроем скобки: 110-x+1=110-x+1.
Получилось верное равенство, значит подходит любое x, но по условию скорость второго на 1 км/ч больше скорости первого, возьмём x=10.
Тогда скорость второго теплохода равна 10 км/ч.",10,2
q_00852,"Система навигации самолёта информирует пассажира о том, что полёт проходит на высоте $37\,000$ футов. Выразите высоту полёта в метрах. Считайте, что $1$ фут равен $30{,}5$ см.","Переведём футы в сантиметры: 1 фут = 30,5 см.
Тогда высота в сантиметрах равна 37000 · 30,5 = 1127500 см.
Теперь переведём сантиметры в метры: 1127500 : 100 = 11275 м.
Значит, самолёт летит на высоте 11275 м.",11275,0
q_01370,"Известно, что $a^2 + b^2 = 29$, $a - b = 3$. Найдите значение $a + b$.","Возвожу обе части уравнения $a - b = 3$ в квадрат, раскрываю по формуле полного квадрата
(a - b)^2 = a^2 - 2ab + b^2 = 9
Подставляю $a^2 + b^2 = 29$ в полученное выражение
29 - 2ab = 9
Нахожу значение $2ab$: переношу слагаемые
2ab = 29 - 9 = 20
Вычисляю $(a+b)^2$ по формуле полного квадрата, подставляю известные значения
(a + b)^2 = a^2 + 2ab + b^2 = 29 + 20 = 49
Извлекаю квадратный корень из 49 и записываю ответ
a + b = 7",7,2
q_00337,"Если три стороны треугольника равны $3m+1$, $m$, $m+3$, то при каком значении $m$ этот треугольник является прямоугольным?","Определяю, какая сторона может быть наибольшей. Замечаю, что $m > 0$, поэтому сторона $m$ — наименьшая. Наибольшей может быть $3m+1$ или $m+3$.
\text{Наибольшая сторона: } 3m+1 \text{ или } m+3
Рассматриваю случай 1: $3m+1 > m+3$, то есть $m > 1$. Тогда наибольшая сторона — $3m+1$. Записываю теорему Пифагора.
m^2 + (m+3)^2 = (3m+1)^2
Раскрываю скобки в левой и правой частях.
m^2 + m^2 + 6m + 9 = 9m^2 + 6m + 1
Упрощаю уравнение: переношу всё в правую часть.
2m^2 + 6m + 9 = 9m^2 + 6m + 1 \implies 7m^2 = 8
Нахожу $m^2 = \frac{8}{7}$, затем $m = \sqrt{\frac{8}{7}}$. Вычисляю: $m = \frac{\sqrt{8}}{\sqrt{7}} = \frac{\sqrt{56}}{7}$. Отрицательный корень отбрасываю, так как $m > 0$.
m = \frac{\sqrt{56}}{7}
Проверяю условие $m > 1$: $\frac{\sqrt{56}}{7} \approx \frac{7{,}48}{7} \approx 1{,}07 > 1$ — условие выполнено. Первый ответ: $m = \frac{\sqrt{56}}{7}$.
m = \frac{\sqrt{56}}{7} > 1 \checkmark
Рассматриваю случай 2: $3m+1 < m+3$, то есть $0 < m < 1$. Тогда наибольшая сторона — $m+3$. Записываю теорему Пифагора.
m^2 + (3m+1)^2 = (m+3)^2
Раскрываю скобки.
m^2 + 9m^2 + 6m + 1 = m^2 + 6m + 9
Упрощаю уравнение.
10m^2 + 6m + 1 = m^2 + 6m + 9 \implies 9m^2 = 8
Нахожу $m^2 = \frac{8}{9}$, затем $m = \frac{\sqrt{8}}{3} = \frac{2\sqrt{2}}{3}$. Отрицательный корень отбрасываю.
m = \frac{2\sqrt{2}}{3}
Проверяю условие $0 < m < 1$: $\frac{2\sqrt{2}}{3} \approx \frac{2 \cdot 1{,}41}{3} \approx 0{,}94 < 1$ — условие выполнено. Второй ответ: $m = \frac{2\sqrt{2}}{3}$.
0 < \frac{2\sqrt{2}}{3} < 1 \checkmark
Записываю итоговый ответ: треугольник является прямоугольным при $m = \frac{\sqrt{56}}{7}$ или $m = \frac{2\sqrt{2}}{3}$.
m = \frac{\sqrt{56}}{7} \text{ или } m = \frac{2\sqrt{2}}{3}",\frac{\sqrt{56}}{7}或\frac{2\sqrt{2}}{3},3
q_00308,"Известно, что |b| = |−5⅓|, выражения 4a−1 и −(a+14) являются противоположными числами, обратная величина c равна −|−1,25|. Найдите значение выражения ¼|a+b| + 5c − 3b (ответ записать в виде смешанной дроби).","Нахожу b из условия |b| = |−5⅓|. Модуль равен 5⅓, значит b = 5⅓ (беру только положительное значение)
b = 5\tfrac{1}{3} = \tfrac{16}{3}
Нахожу a. Так как 4a−1 и −(a+14) — противоположные числа, их сумма равна нулю: 4a−1 + (−(a+14)) = 0
4a - 1 + (-(a+14)) = 0
Раскрываю скобки и решаю уравнение
4a - 1 - a - 14 = 0 \implies 3a - 15 = 0 \implies a = 5
Нахожу c. Обратная величина c равна −|−1,25| = −1,25 = −5/4, значит c = −4/5
c = -\tfrac{4}{5}
Подставляю a = 5, b = 16/3, c = −4/5 в выражение и вычисляю |a+b|
|a + b| = \left|5 + \tfrac{16}{3}\right| = \left|\tfrac{15}{3} + \tfrac{16}{3}\right| = \tfrac{31}{3}
Вычисляю ¼|a+b|
\tfrac{1}{4} \cdot \tfrac{31}{3} = \tfrac{31}{12}
Вычисляю 5c
5c = 5 \cdot \left(-\tfrac{4}{5}\right) = -4
Вычисляю 3b
3b = 3 \cdot \tfrac{16}{3} = 16
Складываю все части выражения: ¼|a+b| + 5c − 3b
\tfrac{31}{12} + (-4) - 16 = \tfrac{31}{12} - 20 = \tfrac{31}{12} - \tfrac{240}{12} = -\tfrac{209}{12}
Перевожу в десятичную дробь для проверки и записываю ответ
-\dfrac{337}{20}",-\frac{337}{20},0
q_01449,"В аэропорту два одинаковых автомата продают чай. Вероятность того, что к концу дня в первом автомате закончится чай, равна $0{,}3$. Такова же вероятность, что чай закончится во втором автомате. Вероятность того, что чай закончится в обоих автоматах, равна $0{,}13$. Найдите вероятность того, что к концу дня в одном из автоматов чай закончится, а в другом  — нет.","Обозначим события: A — в первом автомате закончится чай, B — во втором автомате закончится чай.
Найдём вероятность того, что чай закончится хотя бы в одном автомате: P(A ∪ B) = P(A) + P(B) - P(A ∩ B) = 0,3 + 0,3 - 0,13 = 0,43.
Теперь найдём вероятность того, что чай закончится ровно в одном автомате: P(только один) = P(A ∪ B) - P(A ∩ B) = 0,43 - 0,13 = 0,30.
Значит, вероятность того, что в одном автомате чай закончится, а в другом нет, равна 0,30.","0,30",0
q_00914,Решите систему неравенств $\begin{cases} \log_{(4-x)}(16-x^{2}) \leqslant 1 \\ 2x+1-\frac{21x+39}{x^{2}+x-2} \geqslant -\frac{1}{x+2} \end{cases}$ .,"1. Решим первое неравенство: 
\(\log_{4-x}(16-x^2)\le 1\). 
Разложим аргумент: \(16-x^2=(4-x)(4+x)\). Тогда 
\(\log_{4-x}((4-x)(4+x))\le 1\Rightarrow 1+\log_{4-x}(4+x)\le 1\), 
значит, \(\log_{4-x}(4+x)\le 0\).
2. Дальше рассмотрим только случай \(4-x>1\), то есть \(x<3\). Тогда основание логарифма больше 1, поэтому 
\(\log_{4-x}(4+x)\le 0\Rightarrow 0<4+x\le 1\). 
Отсюда получаем \(-4<x\le -3\). Значит, первое неравенство даёт \((-4;-3]\).
3. Решим второе неравенство:
\[2x+1-\frac{21x+39}{x^2+x-2}\ge -\frac1{x+2}.\]
Перенесём всё влево и разложим знаменатель:
\(x^2+x-2=(x+2)(x-1)\), \(21x+39=20(x+2)+(x-1)\).
Тогда
\[2x+1-\frac{20(x+2)}{(x+2)(x-1)}-\frac{x-1}{(x+2)(x-1)}+\frac1{x+2}\ge 0.\]
Сокращаем и получаем
\[2x+1-\frac{20}{x-1}\ge 0, \quad x\ne -2,\ x\ne 1.\]
4. Приведём к одной дроби:
\[2x+1-\frac{20}{x-1}=\frac{(2x+1)(x-1)-20}{x-1}=\frac{2x^2-x-21}{x-1}=\frac{(x+3)(2x-7)}{x-1}.\]
Значит, надо решить
\[\frac{(x+3)(2x-7)}{x-1}\ge 0, \quad x\ne -2.\]
5. По методу интервалов получаем:
\[-3\le x\le -2,\quad -2<x<1,\quad x\ge \frac72.\]
6. Пересечём с результатом первого неравенства: 
\((-4;-3]\cap\left( [-3;-2]\cup(-2;1)\cup\left[\frac72;+\infty\right)\right)=\{-3\}.\)
7. Ответ: \(\{-3\}\).",\{-3\},3
q_01194,Решите неравенство $\frac{81^{x}+2\cdot 25^{x\log_{5} 3}-5}{(4x-1)^{2}} \geqslant 0$.,"Рассмотрим знаменатель: \((4x-1)^2\ge 0\), и он равен нулю только при \(x=\frac14\). Значит, \(x=\frac14\) не входит в область допустимых значений, а при \(x\ne\frac14\) знак дроби определяется числителем.
Преобразуем числитель: \(81^x=(9^2)^x=9^{2x}\), а \(25^{x\log_5 3}=(5^2)^{x\log_5 3}=5^{2x\log_5 3}=3^{2x}=9^x\). Тогда получаем неравенство \(9^{2x}+2\cdot 9^x-5\ge 0\).
Сделаем замену: \(y=9^x\), тогда \(y>0\). Получаем \(y^2+2y-5\ge 0\). Корни: \(y=-1\pm \sqrt6\). Значит, \(y\le -1-\sqrt6\) или \(y\ge -1+\sqrt6\).
Так как \(y=9^x>0\), то первое неравенство решений не имеет, остаётся \(9^x\ge \sqrt6-1\). Отсюда \(x\ge \log_9(\sqrt6-1)\).
Так как уже есть условие \(x\ne \frac14\), то достаточно взять только значения больше \(\frac14\). Получаем ответ: \(x\in\left(\frac14;+\infty\right)\).",\(\left(\frac14;+\infty\right)\),4
q_00904,"Фермер убирает урожай риса на трапециевидном поле с верхним основанием 90 м, нижним основанием 120 м и высотой 18 м. Уже убрано 600 м². Оставшееся нужно убрать за 5 дней. Сколько квадратных метров в среднем нужно убирать каждый день?","Нахожу площадь трапециевидного рисового поля по формуле площади трапеции: (верхнее основание + нижнее основание) × высота
S = (90 + 120) \times 18 = 210 \times 18 = 3780 \text{ м}^2
Нахожу оставшуюся площадь: из общей площади вычитаю уже убранные 600 м²
3780 - 600 = 3280 \text{ м}^2
Делю оставшуюся площадь на 5 дней, чтобы найти среднюю дневную выработку
3280 \div 5 = 656 \text{ м}^2",656,2
